Job_ID,Machine_ID,Operation_Type,Material_Used,Processing_Time,Energy_Consumption,Machine_Availability,Scheduled_Start,Scheduled_End,Actual_Start,Actual_End,Job_Status,Optimization_Category
J017,M03,Lathe,4.3,115,9.44,80,2023-03-18 10:40:00,2023-03-18 12:35:00,2023-03-18 10:37:00,2023-03-18 12:32:00,Completed,Low Efficiency
J018,M05,Lathe,2.25,55,10.95,94,2023-03-18 10:50:00,2023-03-18 11:45:00,2023-03-18 10:48:00,2023-03-18 11:43:00,Completed,Low Efficiency
J019,M02,Milling,4.62,52,3.27,82,2023-03-18 11:00:00,2023-03-18 11:52:00,2023-03-18 10:58:00,2023-03-18 11:50:00,Completed,Low Efficiency
J020,M05,Lathe,1.39,42,14.19,91,2023-03-18 11:10:00,2023-03-18 11:52:00,2023-03-18 11:15:00,2023-03-18 11:57:00,Completed,Moderate Efficiency
J021,M02,Milling,3.95,107,13.73,83,2023-03-18 11:20:00,2023-03-18 13:07:00,2023-03-18 11:15:00,2023-03-18 13:02:00,Completed,Low Efficiency
J022,M03,Additive,3.3,64,4.14,93,2023-03-18 11:30:00,2023-03-18 12:34:00,2023-03-18 11:44:00,2023-03-18 12:48:00,Delayed,Low Efficiency
J023,M01,Drilling,4.86,98,13.49,89,2023-03-18 11:40:00,2023-03-18 13:18:00,2023-03-18 11:35:00,2023-03-18 13:13:00,Completed,Low Efficiency
J024,M02,Grinding,1.84,84,8.81,98,2023-03-18 11:50:00,2023-03-18 13:14:00,2023-03-18 12:13:00,2023-03-18 13:37:00,Delayed,Low Efficiency
J025,M04,Lathe,1.84,119,5.1,82,2023-03-18 12:00:00,2023-03-18 13:59:00,,,Failed,Low Efficiency
J026,M01,Additive,1.14,21,3.89,97,2023-03-18 12:10:00,2023-03-18 12:31:00,2023-03-18 12:10:00,2023-03-18 12:31:00,Completed,High Efficiency
J027,M03,Lathe,4.03,87,11.34,80,2023-03-18 12:20:00,2023-03-18 13:47:00,,,Failed,Low Efficiency
J028,M03,Milling,3.21,93,4.16,98,2023-03-18 12:30:00,2023-03-18 14:03:00,2023-03-18 12:28:00,2023-03-18 14:01:00,Completed,Low Efficiency
J029,M02,Milling,3.47,116,5.39,91,2023-03-18 12:40:00,2023-03-18 14:36:00,2023-03-18 12:39:00,2023-03-18 14:35:00,Completed,Low Efficiency
J030,M05,Grinding,4.62,66,10.36,89,2023-03-18 12:50:00,2023-03-18 13:56:00,2023-03-18 12:51:00,2023-03-18 13:57:00,Completed,Moderate Efficiency
J031,M03,Grinding,1.7,37,3.21,96,2023-03-18 13:00:00,2023-03-18 13:37:00,2023-03-18 13:02:00,2023-03-18 13:39:00,Completed,High Efficiency
J032,M03,Drilling,3.02,78,4.93,80,2023-03-18 13:10:00,2023-03-18 14:28:00,2023-03-18 13:13:00,2023-03-18 14:31:00,Completed,High Efficiency
J033,M04,Lathe,3.7,103,8.02,80,2023-03-18 13:20:00,2023-03-18 15:03:00,2023-03-18 13:33:00,2023-03-18 15:16:00,Delayed,Low Efficiency
J034,M01,Grinding,1.47,110,12.52,86,2023-03-18 13:30:00,2023-03-18 15:20:00,2023-03-18 13:54:00,2023-03-18 15:44:00,Delayed,Low Efficiency
J035,M02,Drilling,2.05,47,12.12,82,2023-03-18 13:40:00,2023-03-18 14:27:00,2023-03-18 13:41:00,2023-03-18 14:28:00,Completed,Moderate Efficiency
J036,M04,Additive,1.76,99,4.72,96,2023-03-18 13:50:00,2023-03-18 15:29:00,2023-03-18 13:47:00,2023-03-18 15:26:00,Completed,Low Efficiency
J037,M01,Milling,4.6,79,13.17,88,2023-03-18 14:00:00,2023-03-18 15:19:00,2023-03-18 14:02:00,2023-03-18 15:21:00,Completed,Moderate Efficiency
J038,M01,Grinding,4.77,43,4.98,94,2023-03-18 14:10:00,2023-03-18 14:53:00,2023-03-18 14:10:00,2023-03-18 14:53:00,Completed,High Efficiency
J039,M02,Drilling,4.06,48,10.65,86,2023-03-18 14:20:00,2023-03-18 15:08:00,,,Failed,Low Efficiency
J040,M01,Lathe,2.29,50,9.94,97,2023-03-18 14:30:00,2023-03-18 15:20:00,2023-03-18 14:29:00,2023-03-18 15:19:00,Completed,Low Efficiency
J041,M04,Milling,1.15,88,11.64,82,2023-03-18 14:40:00,2023-03-18 16:08:00,2023-03-18 14:43:00,2023-03-18 16:11:00,Completed,Moderate Efficiency
J042,M04,Additive,1.55,48,13.57,95,2023-03-18 14:50:00,2023-03-18 15:38:00,2023-03-18 14:47:00,2023-03-18 15:35:00,Completed,Low Efficiency
J043,M03,Additive,4.84,75,4.53,87,2023-03-18 15:00:00,2023-03-18 16:15:00,2023-03-18 15:01:00,2023-03-18 16:16:00,Completed,High Efficiency
J044,M02,Lathe,1.82,109,5.67,93,2023-03-18 15:10:00,2023-03-18 16:59:00,2023-03-18 15:05:00,2023-03-18 16:54:00,Completed,Low Efficiency
J045,M02,Milling,3.52,78,3.03,91,2023-03-18 15:20:00,2023-03-18 16:38:00,2023-03-18 15:25:00,2023-03-18 16:43:00,Completed,High Efficiency
J046,M03,Milling,4.52,30,7.15,85,2023-03-18 15:30:00,2023-03-18 16:00:00,2023-03-18 15:54:00,2023-03-18 16:24:00,Delayed,Low Efficiency
J047,M02,Drilling,1.9,25,10.09,85,2023-03-18 15:40:00,2023-03-18 16:05:00,2023-03-18 15:44:00,2023-03-18 16:09:00,Completed,Moderate Efficiency
J048,M02,Lathe,3.67,75,4.12,99,2023-03-18 15:50:00,2023-03-18 17:05:00,2023-03-18 15:47:00,2023-03-18 17:02:00,Completed,Low Efficiency
J049,M02,Lathe,4.43,33,7.55,80,2023-03-18 16:00:00,2023-03-18 16:33:00,2023-03-18 16:04:00,2023-03-18 16:37:00,Completed,Moderate Efficiency
J050,M01,Lathe,1.42,104,3.09,87,2023-03-18 16:10:00,2023-03-18 17:54:00,2023-03-18 16:29:00,2023-03-18 18:13:00,Delayed,Low Efficiency
J051,M04,Lathe,4.25,24,7.26,90,2023-03-18 16:20:00,2023-03-18 16:44:00,,,Failed,Low Efficiency
J052,M05,Grinding,3.91,23,9.2,82,2023-03-18 16:30:00,2023-03-18 16:53:00,2023-03-18 16:27:00,2023-03-18 16:50:00,Completed,Low Efficiency
J053,M02,Lathe,1.85,97,4.77,98,2023-03-18 16:40:00,2023-03-18 18:17:00,2023-03-18 16:37:00,2023-03-18 18:14:00,Completed,Low Efficiency
J054,M05,Drilling,2.79,64,6.66,82,2023-03-18 16:50:00,2023-03-18 17:54:00,2023-03-18 17:10:00,2023-03-18 18:14:00,Delayed,Low Efficiency
J055,M05,Drilling,4.61,116,13.1,99,2023-03-18 17:00:00,2023-03-18 18:56:00,2023-03-18 16:55:00,2023-03-18 18:51:00,Completed,Low Efficiency
J056,M01,Drilling,4.2,104,11.91,80,2023-03-18 17:10:00,2023-03-18 18:54:00,2023-03-18 17:07:00,2023-03-18 18:51:00,Completed,Low Efficiency
J057,M02,Additive,1.04,31,6.53,86,2023-03-18 17:20:00,2023-03-18 17:51:00,2023-03-18 17:19:00,2023-03-18 17:50:00,Completed,Low Efficiency
J058,M01,Grinding,1.03,83,8.42,81,2023-03-18 17:30:00,2023-03-18 18:53:00,2023-03-18 17:31:00,2023-03-18 18:54:00,Completed,High Efficiency
J059,M05,Additive,3.62,62,6.06,88,2023-03-18 17:40:00,2023-03-18 18:42:00,2023-03-18 17:51:00,2023-03-18 18:53:00,Delayed,Low Efficiency
J060,M01,Milling,3.29,66,8.69,80,2023-03-18 17:50:00,2023-03-18 18:56:00,2023-03-18 17:52:00,2023-03-18 18:58:00,Completed,Moderate Efficiency
J061,M02,Lathe,3.03,110,6.98,82,2023-03-18 18:00:00,2023-03-18 19:50:00,,,Failed,Low Efficiency
J062,M02,Lathe,2.47,98,9.93,82,2023-03-18 18:10:00,2023-03-18 19:48:00,2023-03-18 18:39:00,2023-03-18 20:17:00,Delayed,Low Efficiency
J063,M02,Lathe,3.2,47,8.4,86,2023-03-18 18:20:00,2023-03-18 19:07:00,,,Failed,Low Efficiency
J064,M02,Lathe,4.81,71,7.42,83,2023-03-18 18:30:00,2023-03-18 19:41:00,2023-03-18 18:30:00,2023-03-18 19:41:00,Completed,High Efficiency
J065,M03,Grinding,2.71,23,6.8,90,2023-03-18 18:40:00,2023-03-18 19:03:00,,,Failed,Low Efficiency
J066,M03,Drilling,3.47,52,2.09,97,2023-03-18 18:50:00,2023-03-18 19:42:00,2023-03-18 19:03:00,2023-03-18 19:55:00,Delayed,Low Efficiency
J067,M02,Lathe,3.28,23,3.79,84,2023-03-18 19:00:00,2023-03-18 19:23:00,2023-03-18 19:12:00,2023-03-18 19:35:00,Delayed,Low Efficiency
J068,M02,Lathe,3.48,116,9.64,82,2023-03-18 19:10:00,2023-03-18 21:06:00,2023-03-18 19:09:00,2023-03-18 21:05:00,Completed,Low Efficiency
J069,M04,Additive,2.61,29,9.58,80,2023-03-18 19:20:00,2023-03-18 19:49:00,2023-03-18 19:21:00,2023-03-18 19:50:00,Completed,Moderate Efficiency
J070,M04,Drilling,3.37,54,2.46,82,2023-03-18 19:30:00,2023-03-18 20:24:00,,,Failed,Low Efficiency
J071,M04,Milling,2.62,25,7.29,95,2023-03-18 19:40:00,2023-03-18 20:05:00,2023-03-18 19:38:00,2023-03-18 20:03:00,Completed,Low Efficiency
J072,M05,Grinding,3.52,68,6.05,99,2023-03-18 19:50:00,2023-03-18 20:58:00,2023-03-18 19:51:00,2023-03-18 20:59:00,Completed,High Efficiency
J073,M04,Drilling,4.17,112,11.57,89,2023-03-18 20:00:00,2023-03-18 21:52:00,2023-03-18 20:02:00,2023-03-18 21:54:00,Completed,Moderate Efficiency
J074,M04,Milling,3.72,65,12.97,86,2023-03-18 20:10:00,2023-03-18 21:15:00,2023-03-18 20:13:00,2023-03-18 21:18:00,Completed,Moderate Efficiency
J075,M05,Additive,3.55,85,7.52,84,2023-03-18 20:20:00,2023-03-18 21:45:00,2023-03-18 20:22:00,2023-03-18 21:47:00,Completed,High Efficiency
J076,M01,Milling,1.99,99,10.01,90,2023-03-18 20:30:00,2023-03-18 22:09:00,,,Failed,Low Efficiency
J077,M01,Milling,3.46,62,7.46,84,2023-03-18 20:40:00,2023-03-18 21:42:00,2023-03-18 20:40:00,2023-03-18 21:42:00,Completed,High Efficiency
J078,M02,Milling,2.08,107,2.2,89,2023-03-18 20:50:00,2023-03-18 22:37:00,2023-03-18 21:02:00,2023-03-18 22:49:00,Delayed,Low Efficiency
J079,M05,Milling,4.55,84,7.43,97,2023-03-18 21:00:00,2023-03-18 22:24:00,2023-03-18 21:21:00,2023-03-18 22:45:00,Delayed,Low Efficiency
J080,M04,Grinding,2.11,82,14.62,89,2023-03-18 21:10:00,2023-03-18 22:32:00,2023-03-18 21:08:00,2023-03-18 22:30:00,Completed,Low Efficiency
J081,M02,Additive,4.01,69,11.72,88,2023-03-18 21:20:00,2023-03-18 22:29:00,2023-03-18 21:17:00,2023-03-18 22:26:00,Completed,Low Efficiency
J082,M01,Drilling,1.73,24,13.39,98,2023-03-18 21:30:00,2023-03-18 21:54:00,2023-03-18 21:26:00,2023-03-18 21:50:00,Completed,Low Efficiency
J083,M03,Drilling,4.15,59,12.15,85,2023-03-18 21:40:00,2023-03-18 22:39:00,2023-03-18 21:41:00,2023-03-18 22:40:00,Completed,Moderate Efficiency
J084,M05,Drilling,1.19,77,11.36,95,2023-03-18 21:50:00,2023-03-18 23:07:00,2023-03-18 22:06:00,2023-03-18 23:23:00,Delayed,Low Efficiency
J085,M02,Lathe,3.38,44,3.35,87,2023-03-18 22:00:00,2023-03-18 22:44:00,2023-03-18 22:00:00,2023-03-18 22:44:00,Completed,High Efficiency
J086,M05,Drilling,2.77,77,14.07,93,2023-03-18 22:10:00,2023-03-18 23:27:00,2023-03-18 22:12:00,2023-03-18 23:29:00,Completed,Moderate Efficiency
J087,M03,Lathe,2.33,59,14.83,98,2023-03-18 22:20:00,2023-03-18 23:19:00,2023-03-18 22:32:00,2023-03-18 23:31:00,Delayed,Low Efficiency
J088,M04,Additive,1.36,60,9.56,94,2023-03-18 22:30:00,2023-03-18 23:30:00,2023-03-18 22:26:00,2023-03-18 23:26:00,Completed,Low Efficiency
J089,M04,Grinding,4.66,55,14.16,81,2023-03-18 22:40:00,2023-03-18 23:35:00,2023-03-18 22:35:00,2023-03-18 23:30:00,Completed,Low Efficiency
J090,M02,Lathe,2.38,27,12.34,99,2023-03-18 22:50:00,2023-03-18 23:17:00,2023-03-18 23:05:00,2023-03-18 23:32:00,Delayed,Low Efficiency
J091,M02,Grinding,4.86,60,14.6,83,2023-03-18 23:00:00,2023-03-19 00:00:00,2023-03-18 22:59:00,2023-03-18 23:59:00,Completed,Low Efficiency
J092,M03,Milling,4.85,90,8.14,96,2023-03-18 23:10:00,2023-03-19 00:40:00,,,Failed,Low Efficiency
J093,M03,Lathe,1.63,86,9.92,98,2023-03-18 23:20:00,2023-03-19 00:46:00,2023-03-18 23:32:00,2023-03-19 00:58:00,Delayed,Low Efficiency
J094,M05,Lathe,4.43,51,7.61,86,2023-03-18 23:30:00,2023-03-19 00:21:00,2023-03-18 23:48:00,2023-03-19 00:39:00,Delayed,Low Efficiency
J095,M03,Lathe,3.43,113,9.22,89,2023-03-18 23:40:00,2023-03-19 01:33:00,2023-03-18 23:38:00,2023-03-19 01:31:00,Completed,Low Efficiency
J096,M05,Milling,4.18,110,10.67,99,2023-03-18 23:50:00,2023-03-19 01:40:00,2023-03-19 00:20:00,2023-03-19 02:10:00,Delayed,Low Efficiency
J097,M04,Drilling,3.88,57,3.8,87,2023-03-19 00:00:00,2023-03-19 00:57:00,2023-03-19 00:23:00,2023-03-19 01:20:00,Delayed,Low Efficiency
J098,M03,Grinding,3.87,91,14.55,92,2023-03-19 00:10:00,2023-03-19 01:41:00,2023-03-19 00:11:00,2023-03-19 01:42:00,Completed,Moderate Efficiency
J099,M05,Additive,1.79,33,3.17,80,2023-03-19 00:20:00,2023-03-19 00:53:00,,,Failed,Low Efficiency
J100,M02,Grinding,2.71,27,12.24,96,2023-03-19 00:30:00,2023-03-19 00:57:00,2023-03-19 00:35:00,2023-03-19 01:02:00,Completed,Moderate Efficiency
J101,M05,Additive,4.8,37,4.73,92,2023-03-19 00:40:00,2023-03-19 01:17:00,2023-03-19 00:37:00,2023-03-19 01:14:00,Completed,Low Efficiency
J102,M04,Grinding,4.96,110,14.56,88,2023-03-19 00:50:00,2023-03-19 02:40:00,2023-03-19 00:49:00,2023-03-19 02:39:00,Completed,Low Efficiency
J103,M05,Lathe,2.54,105,9.97,96,2023-03-19 01:00:00,2023-03-19 02:45:00,2023-03-19 01:14:00,2023-03-19 02:59:00,Delayed,Low Efficiency
J104,M05,Milling,3.6,62,8.45,87,2023-03-19 01:10:00,2023-03-19 02:12:00,2023-03-19 01:05:00,2023-03-19 02:07:00,Completed,Low Efficiency
J105,M03,Grinding,1.85,43,13.65,86,2023-03-19 01:20:00,2023-03-19 02:03:00,2023-03-19 01:18:00,2023-03-19 02:01:00,Completed,Low Efficiency
J106,M03,Grinding,4.58,107,8.8,80,2023-03-19 01:30:00,2023-03-19 03:17:00,2023-03-19 01:27:00,2023-03-19 03:14:00,Completed,Low Efficiency
J107,M04,Grinding,3.86,103,13.37,92,2023-03-19 01:40:00,2023-03-19 03:23:00,,,Failed,Low Efficiency
J108,M05,Lathe,3.28,78,14.78,84,2023-03-19 01:50:00,2023-03-19 03:08:00,2023-03-19 01:51:00,2023-03-19 03:09:00,Completed,Moderate Efficiency
J109,M05,Lathe,3.19,102,5.14,84,2023-03-19 02:00:00,2023-03-19 03:42:00,2023-03-19 01:55:00,2023-03-19 03:37:00,Completed,Low Efficiency
J110,M05,Additive,3.17,107,9.31,89,2023-03-19 02:10:00,2023-03-19 03:57:00,2023-03-19 02:08:00,2023-03-19 03:55:00,Completed,Low Efficiency
J111,M01,Drilling,2.87,119,13.26,80,2023-03-19 02:20:00,2023-03-19 04:19:00,2023-03-19 02:16:00,2023-03-19 04:15:00,Completed,Low Efficiency
J112,M02,Lathe,3.71,74,7.12,95,2023-03-19 02:30:00,2023-03-19 03:44:00,2023-03-19 02:35:00,2023-03-19 03:49:00,Completed,Moderate Efficiency
J113,M01,Drilling,3.77,103,2.25,95,2023-03-19 02:40:00,2023-03-19 04:23:00,2023-03-19 02:38:00,2023-03-19 04:21:00,Completed,Low Efficiency
J114,M01,Lathe,1.26,116,4.36,98,2023-03-19 02:50:00,2023-03-19 04:46:00,2023-03-19 03:13:00,2023-03-19 05:09:00,Delayed,Low Efficiency
J115,M04,Lathe,1.32,114,9.49,86,2023-03-19 03:00:00,2023-03-19 04:54:00,2023-03-19 03:00:00,2023-03-19 04:54:00,Completed,High Efficiency
J116,M04,Milling,2.11,77,5.69,90,2023-03-19 03:10:00,2023-03-19 04:27:00,2023-03-19 03:08:00,2023-03-19 04:25:00,Completed,Low Efficiency
J117,M02,Grinding,1.57,67,5.41,81,2023-03-19 03:20:00,2023-03-19 04:27:00,2023-03-19 03:16:00,2023-03-19 04:23:00,Completed,Low Efficiency
J118,M02,Lathe,1.14,68,12.12,83,2023-03-19 03:30:00,2023-03-19 04:38:00,,,Failed,Low Efficiency
J119,M04,Drilling,1.09,58,6.55,89,2023-03-19 03:40:00,2023-03-19 04:38:00,2023-03-19 03:41:00,2023-03-19 04:39:00,Completed,High Efficiency
J120,M04,Lathe,1.22,33,5.5,91,2023-03-19 03:50:00,2023-03-19 04:23:00,2023-03-19 03:54:00,2023-03-19 04:27:00,Completed,High Efficiency
J121,M05,Additive,4.13,39,8.06,91,2023-03-19 04:00:00,2023-03-19 04:39:00,2023-03-19 03:56:00,2023-03-19 04:35:00,Completed,Low Efficiency
J122,M02,Grinding,3.22,102,7.75,96,2023-03-19 04:10:00,2023-03-19 05:52:00,2023-03-19 04:07:00,2023-03-19 05:49:00,Completed,Low Efficiency
J123,M04,Grinding,2.65,85,8.35,80,2023-03-19 04:20:00,2023-03-19 05:45:00,2023-03-19 04:17:00,2023-03-19 05:42:00,Completed,Low Efficiency
J124,M01,Grinding,4.75,40,4.42,80,2023-03-19 04:30:00,2023-03-19 05:10:00,2023-03-19 04:32:00,2023-03-19 05:12:00,Completed,High Efficiency
J125,M02,Additive,2.43,76,3.58,91,2023-03-19 04:40:00,2023-03-19 05:56:00,2023-03-19 04:40:00,2023-03-19 05:56:00,Completed,High Efficiency
J126,M01,Milling,3.12,70,5.07,98,2023-03-19 04:50:00,2023-03-19 06:00:00,2023-03-19 04:45:00,2023-03-19 05:55:00,Completed,Low Efficiency
J127,M04,Additive,4.22,27,6.94,87,2023-03-19 05:00:00,2023-03-19 05:27:00,2023-03-19 05:21:00,2023-03-19 05:48:00,Delayed,Low Efficiency
J128,M04,Grinding,3.24,40,10.06,91,2023-03-19 05:10:00,2023-03-19 05:50:00,2023-03-19 05:08:00,2023-03-19 05:48:00,Completed,Low Efficiency
J129,M05,Grinding,2.07,45,7.75,84,2023-03-19 05:20:00,2023-03-19 06:05:00,2023-03-19 05:24:00,2023-03-19 06:09:00,Completed,Moderate Efficiency
J130,M02,Milling,1.1,78,2.49,96,2023-03-19 05:30:00,2023-03-19 06:48:00,2023-03-19 05:31:00,2023-03-19 06:49:00,Completed,Optimal Efficiency
J131,M04,Drilling,3.55,78,4.87,97,2023-03-19 05:40:00,2023-03-19 06:58:00,2023-03-19 05:38:00,2023-03-19 06:56:00,Completed,Low Efficiency
J132,M01,Additive,4.64,70,10.68,82,2023-03-19 05:50:00,2023-03-19 07:00:00,2023-03-19 06:04:00,2023-03-19 07:14:00,Delayed,Low Efficiency
J133,M01,Drilling,4.42,85,6.51,92,2023-03-19 06:00:00,2023-03-19 07:25:00,2023-03-19 06:04:00,2023-03-19 07:29:00,Completed,High Efficiency
J134,M03,Lathe,2.8,71,13.03,89,2023-03-19 06:10:00,2023-03-19 07:21:00,,,Failed,Low Efficiency
J135,M01,Drilling,4.64,23,8.31,86,2023-03-19 06:20:00,2023-03-19 06:43:00,2023-03-19 06:21:00,2023-03-19 06:44:00,Completed,High Efficiency
J136,M04,Drilling,4.7,78,2.59,95,2023-03-19 06:30:00,2023-03-19 07:48:00,2023-03-19 06:29:00,2023-03-19 07:47:00,Completed,Low Efficiency
J137,M01,Lathe,2.86,91,11.79,89,2023-03-19 06:40:00,2023-03-19 08:11:00,2023-03-19 06:45:00,2023-03-19 08:16:00,Completed,Moderate Efficiency
J138,M03,Grinding,4.14,65,11.48,81,2023-03-19 06:50:00,2023-03-19 07:55:00,2023-03-19 07:20:00,2023-03-19 08:25:00,Delayed,Low Efficiency
J139,M03,Additive,4.04,45,4.48,92,2023-03-19 07:00:00,2023-03-19 07:45:00,2023-03-19 07:02:00,2023-03-19 07:47:00,Completed,High Efficiency
J140,M05,Drilling,2.58,100,8.54,85,2023-03-19 07:10:00,2023-03-19 08:50:00,2023-03-19 07:13:00,2023-03-19 08:53:00,Completed,Moderate Efficiency
J141,M03,Drilling,2.45,100,6.0,91,2023-03-19 07:20:00,2023-03-19 09:00:00,2023-03-19 07:16:00,2023-03-19 08:56:00,Completed,Low Efficiency
J142,M03,Lathe,2.69,110,3.75,93,2023-03-19 07:30:00,2023-03-19 09:20:00,2023-03-19 07:28:00,2023-03-19 09:18:00,Completed,Low Efficiency
J143,M03,Additive,4.02,33,4.28,87,2023-03-19 07:40:00,2023-03-19 08:13:00,2023-03-19 08:06:00,2023-03-19 08:39:00,Delayed,Low Efficiency
J144,M03,Milling,2.1,47,6.24,87,2023-03-19 07:50:00,2023-03-19 08:37:00,2023-03-19 07:45:00,2023-03-19 08:32:00,Completed,Low Efficiency
J145,M05,Lathe,4.02,22,7.26,97,2023-03-19 08:00:00,2023-03-19 08:22:00,2023-03-19 08:05:00,2023-03-19 08:27:00,Completed,Moderate Efficiency
J146,M01,Grinding,2.02,62,2.21,97,2023-03-19 08:10:00,2023-03-19 09:12:00,,,Failed,Low Efficiency
J147,M03,Lathe,3.73,29,11.1,88,2023-03-19 08:20:00,2023-03-19 08:49:00,2023-03-19 08:49:00,2023-03-19 09:18:00,Delayed,Low Efficiency
J148,M01,Lathe,3.74,39,9.65,87,2023-03-19 08:30:00,2023-03-19 09:09:00,2023-03-19 08:30:00,2023-03-19 09:09:00,Completed,High Efficiency
J149,M05,Lathe,4.46,100,11.84,95,2023-03-19 08:40:00,2023-03-19 10:20:00,,,Failed,Low Efficiency
J150,M03,Grinding,4.97,53,12.4,86,2023-03-19 08:50:00,2023-03-19 09:43:00,2023-03-19 09:06:00,2023-03-19 09:59:00,Delayed,Low Efficiency
J151,M02,Additive,4.41,20,13.63,85,2023-03-19 09:00:00,2023-03-19 09:20:00,,,Failed,Low Efficiency
J152,M05,Milling,1.82,106,9.32,96,2023-03-19 09:10:00,2023-03-19 10:56:00,2023-03-19 09:14:00,2023-03-19 11:00:00,Completed,Moderate Efficiency
J153,M05,Lathe,1.73,66,5.45,90,2023-03-19 09:20:00,2023-03-19 10:26:00,2023-03-19 09:20:00,2023-03-19 10:26:00,Completed,High Efficiency
J154,M02,Grinding,2.11,111,7.67,80,2023-03-19 09:30:00,2023-03-19 11:21:00,2023-03-19 09:29:00,2023-03-19 11:20:00,Completed,Low Efficiency
J155,M03,Drilling,3.57,40,9.87,82,2023-03-19 09:40:00,2023-03-19 10:20:00,2023-03-19 09:41:00,2023-03-19 10:21:00,Completed,Moderate Efficiency
J156,M04,Milling,4.14,69,14.55,94,2023-03-19 09:50:00,2023-03-19 10:59:00,,,Failed,Low Efficiency
J157,M03,Grinding,1.01,59,8.16,91,2023-03-19 10:00:00,2023-03-19 10:59:00,2023-03-19 10:05:00,2023-03-19 11:04:00,Completed,Moderate Efficiency
J158,M05,Drilling,3.55,113,7.69,80,2023-03-19 10:10:00,2023-03-19 12:03:00,2023-03-19 10:10:00,2023-03-19 12:03:00,Completed,High Efficiency
J159,M02,Milling,1.15,46,3.01,89,2023-03-19 10:20:00,2023-03-19 11:06:00,2023-03-19 10:22:00,2023-03-19 11:08:00,Completed,High Efficiency
J160,M01,Milling,4.25,118,9.57,87,2023-03-19 10:30:00,2023-03-19 12:28:00,2023-03-19 10:34:00,2023-03-19 12:32:00,Completed,Moderate Efficiency
J161,M04,Milling,3.8,54,10.3,89,2023-03-19 10:40:00,2023-03-19 11:34:00,2023-03-19 10:40:00,2023-03-19 11:34:00,Completed,Moderate Efficiency
J162,M01,Additive,2.25,58,11.7,92,2023-03-19 10:50:00,2023-03-19 11:48:00,2023-03-19 10:50:00,2023-03-19 11:48:00,Completed,Moderate Efficiency
J163,M01,Milling,4.4,43,10.4,80,2023-03-19 11:00:00,2023-03-19 11:43:00,2023-03-19 10:59:00,2023-03-19 11:42:00,Completed,Low Efficiency
